animal_type,primary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,outcome_date,outcome_type,outcome_is_dead,geopoint,adopted,age,month,season
dog,brown,Male,2022-12-01,2023-03-16,normal,owner surrender,field,2023-03-16,transfer,FALSE,"33.846061, -118.1936055",No,2,03,Spring
wild,gray,Unknown,2016-01-29,2019-01-29,injured  severe,wildlife,field,2019-01-29,euthanasia,TRUE,"33.8517366, -118.1956021",No,9,01,Winter
cat,brown  tabby,Unknown,2017-05-25,2017-06-25,under age/weight,stray,field,2017-06-25,euthanasia,TRUE,"33.8685157, -118.2012518",No,7,06,Summer
cat,brown  tabby,Male,2014-01-11,2018-01-11,injured  severe,stray,field,2018-01-11,died,TRUE,"33.8495009, -118.1949053",No,11,01,Winter
bird,white,Unknown,2021-05-24,2022-05-24,injured  mild,stray,field,2022-05-26,adoption,FALSE,"33.764574, -118.1666584",Yes,3,05,Spring
bird,white,Unknown,2020-01-15,2021-01-15,normal,stray,field,2021-01-22,rescue,FALSE,"33.7461607, -118.1189419",No,5,01,Winter
cat,gray,Spayed,2010-03-06,2019-07-02,normal,safe keep,owner died,2019-07-10,return to owner,FALSE,"33.7493316, -118.1252406",No,15,07,Summer
bird,white,Unknown,2023-11-14,2024-11-14,injured  severe,wildlife,field,2024-11-14,transfer,FALSE,"33.76009010000001, -118.1478104",No,1,11,Fall
dog,gray,Spayed,2020-09-18,2021-09-18,normal,stray,field,2021-10-02,adoption,FALSE,"33.8557475, -118.1969063",Yes,4,10,Fall
cat,black,Female,2014-03-25,2017-03-25,ill mild,stray,otc,2017-03-25,euthanasia,TRUE,"33.7562364, -118.1377058",No,11,03,Spring
cat,calico dilute,Female,2018-06-13,2018-07-03,under age/weight,stray,field,2018-07-04,euthanasia,TRUE,"33.8448425, -118.1933829",No,6,07,Summer
cat,brown  tabby,Unknown,2017-05-13,2017-06-06,under age/weight,stray,field,2017-06-06,euthanasia,TRUE,"33.8502723, -118.1956561",No,7,06,Summer
dog,tan,Male,2014-02-08,2018-02-08,normal,stray,field,2018-02-14,transfer,FALSE,"33.8703458, -118.2020155",No,11,02,Winter
cat,black,Neutered,2014-09-12,2017-09-12,feral,stray,field,2018-01-24,rescue,FALSE,"33.8523859, -118.1955218",No,10,01,Winter
cat,orange tabby,Unknown,2015-10-04,2018-10-04,injured  severe,stray,field,2018-10-04,euthanasia,TRUE,"33.8515302, -118.1962352",No,9,10,Fall
cat,white,Neutered,2017-01-09,2020-01-09,fractious,stray,field,2020-01-14,"shelter, neuter, return",FALSE,"33.8460665, -118.1940513",No,8,01,Winter
dog,white,Male,2015-10-20,2017-10-20,normal,stray,field,2017-10-27,transfer,FALSE,"33.849502, -118.1953004",No,9,10,Fall
other,brown,Unknown,2017-02-11,2018-02-11,injured  severe,wildlife,field,2018-02-11,euthanasia,TRUE,"33.7584892, -118.1434117",No,8,02,Winter
dog,gray,Female,2019-08-09,2021-08-08,normal,stray,field,2021-08-11,return to owner,FALSE,"33.7621679, -118.196966",No,5,08,Summer
dog,black,Female,2018-05-08,2018-08-08,normal,stray,otc,2018-08-15,transfer,FALSE,"33.7621679, -118.196966",No,6,08,Summer
dog,black,Neutered,2021-10-10,2023-10-08,normal,stray,field,2024-03-10,adoption,FALSE,"33.7621679, -118.196966",Yes,3,03,Spring
cat,black,Female,2017-04-13,2017-07-13,normal,stray,otc,2017-07-25,rescue,FALSE,"33.7684106, -118.1846501",No,7,07,Summer
cat,brown  tabby,Female,2017-04-13,2017-07-13,normal,stray,otc,2017-07-25,rescue,FALSE,"33.7684106, -118.1846501",No,7,07,Summer
cat,brown  tabby,Male,2023-05-15,2023-06-04,under age/weight,stray,otc,2023-06-05,euthanasia,TRUE,"33.8099414, -118.190922",No,1,06,Summer
cat,brown  tabby,Male,2023-05-15,2023-06-04,under age/weight,stray,otc,2023-07-13,adoption,FALSE,"33.8099414, -118.190922",Yes,1,07,Summer
cat,gray tabby,Male,2023-05-15,2023-06-04,under age/weight,stray,otc,2023-06-14,rescue,FALSE,"33.8099414, -118.190922",No,1,06,Summer
cat,brown  tabby,Female,2016-11-14,2021-12-12,normal,confiscate,owner died,2021-12-14,return to rescue,FALSE,"33.7420707, -118.1102942",No,8,12,Winter
dog,brown,Neutered,2012-03-01,2020-03-01,behavior  severe,owner surrender,otc,2020-04-21,rescue,FALSE,"33.7417054, -118.1092321",No,13,04,Spring
cat,white,Male,2020-05-22,2020-08-22,normal,stray,otc,2020-08-29,transfer,FALSE,"33.8775178, -118.2025528",No,4,08,Summer
dog,gray,Spayed,2017-07-18,2022-07-18,aged,stray,field,2023-04-08,adoption,FALSE,"33.8775178, -118.2025528",Yes,7,04,Spring
bird,black,Unknown,2017-05-01,2018-05-01,ill severe,stray,field,2018-05-08,adoption,FALSE,"33.7684106, -118.1846501",Yes,7,05,Spring
cat,black,Male,2021-06-13,2022-01-13,normal,welfare seized,hospital,2022-01-29,return to owner,FALSE,"33.7684106, -118.1846501",No,3,01,Winter
dog,black,Spayed,2018-11-08,2020-11-08,normal,stray,field,2020-11-30,transport,FALSE,"33.7684106, -118.1846501",No,6,11,Fall
cat,gray,Spayed,2023-03-30,2023-05-24,ill mild,stray,otc,2023-05-27,adoption,FALSE,"33.8661015, -118.2027924",Yes,1,05,Spring
cat,gray,Male,2017-09-12,2019-09-12,fractious,stray,otc,2019-09-26,euthanasia,TRUE,"33.7672385, -118.1807414",No,7,09,Fall
cat,tortie,Spayed,2014-05-30,2019-05-30,normal,owner surrender,field,2019-06-02,transfer,FALSE,"33.7672385, -118.1807414",No,10,06,Summer
cat,black,Female,2017-02-06,2017-02-23,under age/weight,owner surrender,otc,2017-02-23,transfer,FALSE,"33.7672612, -118.1786864",No,8,02,Winter
cat,white,Male,2017-02-06,2017-02-23,under age/weight,owner surrender,otc,2017-02-23,transfer,FALSE,"33.7672612, -118.1786864",No,8,02,Winter
cat,gray tabby,Male,2017-01-30,2017-02-23,under age/weight,owner surrender,otc,2017-02-24,rescue,FALSE,"33.7672612, -118.1786864",No,8,02,Winter
dog,blue,Male,2015-07-08,2017-07-08,normal,stray,field,2017-09-01,euthanasia,TRUE,"33.7672612, -118.1786864",No,9,09,Fall
cat,calico,Female,2016-10-23,2017-02-23,normal,owner surrender,otc,2017-02-23,transfer,FALSE,"33.7672612, -118.1786864",No,8,02,Winter
cat,tortie,Female,2017-05-13,2017-06-13,under age/weight,stray,field,2017-06-15,rescue,FALSE,"33.7672612, -118.1786864",No,7,06,Summer
dog,tan,Neutered,2007-03-27,2018-03-27,injured  mild,stray,aban field,2018-03-31,euthanasia,TRUE,"33.7652208, -118.1675969",No,18,03,Spring
dog,brown brindle,Neutered,2021-12-12,2022-11-12,normal,stray,otc,2022-11-30,adoption,FALSE,"33.7652208, -118.1675969",Yes,3,11,Fall
dog,black,Male,2020-12-15,2022-12-15,normal,stray,otc,2022-12-15,transfer,FALSE,"33.7652208, -118.1675969",No,4,12,Winter
dog,white,Female,2011-12-10,2018-12-19,normal,stray,field,2018-12-20,return to owner,FALSE,"33.7568894, -118.1358057",No,13,12,Winter
dog,white,Female,2016-07-09,2024-07-09,ill severe,stray,field,2024-07-10,return to owner,FALSE,"33.8465824, -118.1980555",No,8,07,Summer
dog,white,Neutered,2013-12-21,2019-08-04,normal,owner surrender,otc,2019-08-17,adoption,FALSE,"33.7871311, -118.1923855",Yes,11,08,Summer
dog,brown brindle,Neutered,2015-01-16,2020-01-16,ill severe,stray,otc,2020-01-25,adoption,FALSE,"33.808011, -118.1923877",Yes,10,01,Winter
dog,tricolor,Male,2023-12-26,2023-12-26,normal,stray,otc,2023-12-29,rescue,FALSE,"33.808011, -118.1923877",No,1,12,Winter
cat,silver tabby,Female,2024-08-18,2024-09-22,under age/weight,stray,otc,2024-10-08,rescue,FALSE,"33.808027, -118.192408",No,0,10,Fall
dog,black,Spayed,2017-09-20,2024-09-20,normal,stray,otc,2024-09-27,adoption,FALSE,"33.808027, -118.192408",Yes,7,09,Fall
cat,white,Male,2022-05-10,2022-06-03,under age/weight,stray,otc,2022-06-04,euthanasia,TRUE,"33.8099414, -118.190922",No,2,06,Summer
cat,black,Female,2022-05-10,2022-06-03,under age/weight,stray,otc,2022-06-04,euthanasia,TRUE,"33.8099414, -118.190922",No,2,06,Summer
cat,black,Female,2018-08-25,2019-08-25,ill moderatete,stray,field,2019-08-26,euthanasia,TRUE,"33.8133641, -118.1924891",No,6,08,Summer
dog,brown,Female,2015-06-13,2019-06-13,injured  moderate,stray,field,2019-07-02,rescue,FALSE,"33.82216349999999, -118.1926399",No,9,07,Summer
cat,gray,Male,2024-08-12,2024-09-12,under age/weight,stray,otc,2024-10-12,rescue,FALSE,"33.8448888, -118.1931745",No,0,10,Fall
cat,gray,Female,2024-08-12,2024-09-12,under age/weight,stray,otc,2024-10-12,rescue,FALSE,"33.8448888, -118.1931745",No,0,10,Fall
cat,gray,Male,2024-08-12,2024-09-12,under age/weight,stray,otc,2024-10-12,rescue,FALSE,"33.8448888, -118.1931745",No,0,10,Fall
cat,black,Female,2023-08-29,2023-10-10,i/i report,stray,field,2023-11-20,rescue,FALSE,"33.8504744, -118.1936361",No,1,11,Fall
cat,brown  tabby,Neutered,2020-01-02,2020-07-02,normal,stray,otc,2020-08-02,adoption,FALSE,"33.8504744, -118.1936361",Yes,5,08,Summer
cat,seal point,Female,2019-09-11,2019-10-17,under age/weight,stray,otc,2019-10-25,rescue,FALSE,"33.8504744, -118.1936361",No,5,10,Fall
cat,brown  tabby,Male,2019-09-11,2019-10-17,under age/weight,stray,otc,2019-10-25,rescue,FALSE,"33.8504744, -118.1936361",No,5,10,Fall
cat,black,Spayed,2021-11-14,2022-04-15,normal,stray,otc,2022-04-23,adoption,FALSE,"33.8557059, -118.1936188",Yes,3,04,Spring
cat,brown  tabby,Male,2019-09-06,2019-11-06,normal,stray,otc,2019-11-13,rescue,FALSE,"33.85754960000001, -118.1954039",No,5,11,Fall
cat,black,Male,2024-04-05,2024-04-11,under age/weight,stray,field,2024-06-11,rescue,FALSE,"33.8581828, -118.1953974",No,0,06,Summer
cat,black,Female,2024-04-05,2024-04-11,under age/weight,stray,field,2024-06-11,rescue,FALSE,"33.8581828, -118.1953974",No,0,06,Summer
dog,black,Spayed,2007-01-08,2019-11-02,ill severe,owner surrender,otc,2019-11-06,adoption,FALSE,"33.8581828, -118.1953974",Yes,18,11,Fall
dog,brown,Neutered,2020-06-04,2022-06-03,normal,stray,otc,2022-06-09,adoption,FALSE,"33.7739773, -118.191797",Yes,4,06,Summer
cat,white,Spayed,2016-05-15,2018-05-15,normal,stray,field,2018-06-12,"shelter, neuter, return",FALSE,"33.8641608, -118.1935283",No,8,06,Summer
cat,white,Unknown,2018-04-23,2018-05-15,under age/weight,stray,field,2018-05-25,euthanasia,TRUE,"33.8641608, -118.1935283",No,6,05,Spring
cat,gray tabby,Neutered,2023-04-19,2024-04-18,fractious,stray,otc,2024-04-27,community cat,FALSE,"33.8775178, -118.2025528",No,1,04,Spring
dog,black,Neutered,2020-09-21,2023-09-21,normal,stray,otc,2024-01-13,adoption,FALSE,"33.8782977, -118.202541",Yes,4,01,Winter
cat,white,Female,2017-08-25,2017-09-07,under age/weight,stray,otc,2017-09-09,rescue,FALSE,"33.8793159, -118.2026829",No,7,09,Fall
cat,gray,Male,2017-08-25,2017-09-07,under age/weight,stray,otc,2017-09-09,rescue,FALSE,"33.8793159, -118.2026829",No,7,09,Fall
cat,calico,Spayed,2015-10-06,2018-10-06,normal,stray,otc,2018-12-16,adoption,FALSE,"33.8793159, -118.2026829",Yes,9,12,Winter
cat,white,Female,2018-07-22,2018-10-06,normal,stray,otc,2018-10-06,euthanasia,TRUE,"33.8793159, -118.2026829",No,6,10,Fall
cat,gray,Unknown,2017-08-21,2017-09-21,under age/weight,stray,field,2017-09-23,rescue,FALSE,"33.8799165, -118.2025639",No,7,09,Fall
dog,black,Spayed,2019-03-20,2024-03-18,normal,stray,field,2024-03-27,return to owner,FALSE,"33.7826071, -118.1924093",No,6,03,Spring
dog,brown,Neutered,2022-02-06,2022-06-05,normal,stray,field,2022-06-16,homefirst,FALSE,"33.8672067, -118.2005567",No,3,06,Summer
dog,tan,Female,2018-09-12,2023-09-12,injured  severe,stray,field,2023-09-13,euthanasia,TRUE,"33.8465498, -118.1937565",No,6,09,Fall
dog,black,Neutered,2017-12-21,2018-06-21,normal,stray,field,2018-06-22,return to owner,FALSE,"33.7996711, -118.1923808",No,7,06,Summer
cat,brown  tabby,Neutered,2013-12-15,2017-12-15,feral,stray,otc,2017-12-28,"shelter, neuter, return",FALSE,"33.7996711, -118.1923808",No,11,12,Winter
cat,white,Neutered,2022-04-05,2022-07-05,ill mild,stray,field,2022-08-25,adoption,FALSE,"33.812501, -118.192098",Yes,2,08,Summer
reptile,green,Unknown,2016-08-25,2017-08-25,injured  severe,wildlife,field,2017-08-25,transfer,FALSE,"33.8566144, -118.1952897",No,8,08,Summer
cat,orange tabby,Neutered,2019-11-26,2020-07-26,normal,stray,field,2020-07-26,return to owner,FALSE,"33.8628136, -118.1939022",No,5,07,Summer
cat,seal point,Unknown,2022-05-07,2022-06-07,ill severe,stray,field,2022-06-07,died,TRUE,"33.8549875, -118.1934587",No,2,06,Summer
cat,brown  tabby,Female,2020-04-23,2020-06-23,injured  moderate,stray,field,2020-07-21,rescue,FALSE,"33.8549875, -118.1934587",No,4,07,Summer
cat,cream tabby,Male,2017-10-14,2017-11-02,under age/weight,stray,otc,2017-11-02,euthanasia,TRUE,"33.8549875, -118.1934587",No,7,11,Fall
dog,brown,Female,2019-05-25,2024-05-25,injured  moderate,stray,field,2024-05-28,euthanasia,TRUE,"33.85405009999999, -118.1935729",No,5,05,Spring
cat,orange,Male,2019-07-12,2019-09-12,normal,stray,aban field,2019-09-13,rescue,FALSE,"33.8540693, -118.1935615",No,5,09,Fall
dog,black,Female,2016-02-12,2017-02-12,normal,stray,field,2017-02-18,transfer,FALSE,"33.8540693, -118.1935615",No,9,02,Winter
cat,gray tabby,Female,2018-05-16,2018-05-19,normal,stray,otc,2018-08-11,rescue,FALSE,"33.8540693, -118.1935615",No,6,08,Summer
cat,black,Neutered,2020-06-16,2020-10-16,normal,stray,field,2020-11-05,adoption,FALSE,"33.8540693, -118.1935615",Yes,4,11,Fall
dog,black,Male,2013-08-30,2018-08-30,normal,stray,otc,2018-09-09,return to owner,FALSE,"33.8719806, -118.2019785",No,11,09,Fall
cat,orange tabby,Male,2024-08-12,2024-09-12,ill severe,stray,field,2024-09-13,euthanasia,TRUE,"33.8584052, -118.1898668",No,0,09,Fall
cat,lynx point,Spayed,2024-07-11,2024-08-07,under age/weight,stray,otc,2024-08-09,rescue,FALSE,"33.8583884, -118.1898534",No,0,08,Summer
cat,seal point,Neutered,2024-07-11,2024-08-07,under age/weight,stray,otc,2024-08-09,rescue,FALSE,"33.8583884, -118.1898534",No,0,08,Summer
dog,tan,Male,2017-11-26,2018-04-26,normal,stray,field,2018-05-02,transfer,FALSE,"33.8634376, -118.1939327",No,7,05,Spring
dog,brown brindle,Male,2014-11-09,2017-11-09,injured  severe,stray,field,2017-11-15,return to owner,FALSE,"33.789591, -118.1920452",No,10,11,Fall
cat,orange,Male,2018-07-25,2018-08-15,under age/weight,stray,otc,2018-08-15,euthanasia,TRUE,"33.8509978, -118.1935457",No,6,08,Summer
dog,brown,Spayed,2009-02-23,2017-06-28,normal,stray,field,2017-06-28,return to owner,FALSE,"33.8509978, -118.1935457",No,16,06,Summer
cat,black,Female,2017-04-07,2017-07-07,normal,stray,otc,2017-07-20,adoption,FALSE,"33.8531119, -118.1935153",Yes,7,07,Summer
bird,white,Unknown,2019-09-11,2020-09-11,injured  severe,wildlife,field,2020-09-11,euthanasia,TRUE,"33.8531119, -118.1935153",No,5,09,Fall
cat,black,Male,2021-09-27,2021-10-26,injured  severe,stray,field,2021-11-19,rescue,FALSE,"33.8619449, -118.1950878",No,3,11,Fall
dog,brown,Neutered,2021-09-22,2022-09-22,normal,stray,field,2022-10-19,adoption,FALSE,"33.8619449, -118.1950878",Yes,3,10,Fall
dog,brown brindle,Neutered,2021-03-30,2024-03-30,injured  moderate,stray,field,2024-04-18,adoption,FALSE,"33.8116503, -118.191676",Yes,3,04,Spring
cat,gray tabby,Female,2018-05-11,2018-07-11,under age/weight,stray,otc,2018-07-26,rescue,FALSE,"33.8490603, -118.1934987",No,6,07,Summer
dog,black,Female,2017-07-29,2019-07-29,normal,owner surrender,field,2019-07-30,transfer,FALSE,"33.7945979, -118.1923718",No,7,07,Summer
dog,white,Female,2022-01-28,2023-01-28,normal,stray,otc,2023-02-03,adoption,FALSE,"33.808011, -118.1923877",Yes,3,02,Winter
rabbit,black,Neutered,2022-01-30,2023-01-21,normal,stray,otc,2023-02-16,rescue,FALSE,"33.8581828, -118.1953974",No,3,02,Winter
cat,gray,Female,2014-07-31,2022-07-31,injured  moderate,stray,field,2022-07-31,transfer,FALSE,"33.7757628, -118.0942762",No,10,07,Summer
dog,silver,Spayed,2014-05-27,2020-05-27,normal,stray,field,2020-05-28,return to owner,FALSE,"33.7655355, -118.1659567",No,10,05,Spring
dog,black,Male,2012-07-03,2024-07-03,normal,stray,otc,2024-07-07,return to owner,FALSE,"33.7680835, -118.1836918",No,12,07,Summer
dog,tan,Neutered,2020-01-19,2023-01-19,normal,stray,otc,2023-05-24,adoption,FALSE,"33.7683013, -118.1887403",Yes,5,05,Spring
dog,chocolate,Female,2014-01-08,2017-01-08,normal,safe keep,hospital,2017-01-23,return to owner,FALSE,"33.7686833, -118.1975282",No,11,01,Winter
cat,white,Female,2023-08-13,2023-09-24,under age/weight,stray,otc,2023-10-04,rescue,FALSE,"33.7613099, -118.146644",No,1,10,Fall
dog,brown,Neutered,2018-01-30,2020-01-30,normal,stray,otc,2020-01-30,return to owner,FALSE,"33.7645936, -118.1607584",No,7,01,Winter
reptile,green,Unknown,2019-02-15,2020-02-15,normal,stray,otc,2020-02-24,rescue,FALSE,"33.7574242, -118.1371146",No,6,02,Winter
cat,white,Female,2021-06-19,2023-06-19,injured  severe,stray,field,2023-06-19,euthanasia,TRUE,"33.8584198, -118.1949481",No,3,06,Summer
cat,white,Male,2024-07-11,2024-07-17,under age/weight,stray,otc,2024-07-31,rescue,FALSE,"33.7684834, -118.1933559",No,0,07,Summer
dog,brown,Neutered,2021-08-31,2023-08-30,normal,stray,otc,2023-12-09,adoption,FALSE,"33.7684834, -118.1933559",Yes,3,12,Winter
dog,yellow,Neutered,2023-11-14,2024-09-14,normal,stray,otc,2024-10-16,adoption,FALSE,"33.7684834, -118.1933559",Yes,1,10,Fall
rabbit,black,Neutered,2020-11-09,2022-11-09,normal,stray,otc,2023-02-18,adoption,FALSE,"33.7684834, -118.1933559",Yes,4,02,Winter
dog,black,Neutered,2023-02-08,2024-02-08,fractious,stray,otc,2024-08-02,rescue,FALSE,"33.7658181, -118.1923767",No,2,08,Summer
dog,brown,Male,2018-03-27,2019-03-27,normal,stray,field,2019-04-02,transfer,FALSE,"33.8447148, -118.17948",No,7,04,Spring
dog,black,Neutered,2013-10-16,2017-10-11,normal,confiscate,vicious,2017-12-21,euthanasia,TRUE,"33.755219, -118.1231337",No,11,12,Winter
cat,brown  tabby,Female,2019-08-02,2019-09-11,under age/weight,stray,otc,2019-09-13,rescue,FALSE,"33.7589323, -118.1403147",No,5,09,Fall
dog,brown brindle,Spayed,2021-01-25,2024-01-25,normal,stray,otc,2024-02-02,adoption,FALSE,"33.764581, -118.1920637",Yes,4,02,Winter
bird,black,Unknown,2022-04-20,2023-04-20,ill moderatete,wildlife,field,2023-04-20,transfer,FALSE,"33.7288676, -118.0850053",No,2,04,Spring
cat,gray,Spayed,2018-08-27,2020-08-27,normal,stray,field,2020-08-28,return to owner,FALSE,"33.7543452, -118.1235029",No,6,08,Summer
cat,orange tabby,Neutered,2019-05-27,2024-05-27,ill moderatete,stray,field,2024-06-14,community cat,FALSE,"33.7934837, -118.1923744",No,5,06,Summer
wild,gray,Unknown,2018-09-25,2021-09-25,ill severe,wildlife,field,2021-09-25,euthanasia,TRUE,"33.7934837, -118.1923744",No,6,09,Fall
cat,brown,Neutered,2018-06-03,2022-06-03,injured  mild,stray,otc,2022-06-23,community cat,FALSE,"33.7934837, -118.1923744",No,6,06,Summer
dog,brown brindle,Spayed,2020-07-14,2022-04-14,normal,stray,otc,2022-06-29,adoption,FALSE,"33.7934837, -118.1923744",Yes,4,06,Summer
cat,black,Spayed,2024-05-06,2024-05-23,under age/weight,stray,otc,2024-08-17,adoption,FALSE,"33.8080086, -118.1928967",Yes,0,08,Summer
cat,white,Neutered,2024-05-10,2024-05-23,under age/weight,stray,otc,2024-08-01,adoption,FALSE,"33.8080086, -118.1928967",Yes,0,08,Summer
cat,gray,Spayed,2024-05-13,2024-05-23,under age/weight,stray,otc,2024-08-17,adoption,FALSE,"33.8080086, -118.1928967",Yes,0,08,Summer
dog,tan,Male,2014-04-02,2022-04-02,normal,stray,field,2022-04-21,adoption,FALSE,"33.8137438, -118.1932185",Yes,10,04,Spring
dog,black,Neutered,2024-06-27,2024-11-27,normal,stray,NA,2024-12-07,rescue,FALSE,"33.7705053, -118.1924121",No,0,12,Winter
dog,tricolor,Female,2019-10-07,2020-02-07,normal,stray,otc,2020-02-13,transfer,FALSE,"33.8487616, -118.1980605",No,5,02,Winter
cat,gray,Neutered,2012-06-07,2017-06-07,injured  severe,stray,field,2017-06-15,"shelter, neuter, return",FALSE,"33.8487616, -118.1980605",No,12,06,Summer
dog,brown,Spayed,2016-06-02,2024-06-02,ill moderatete,stray,otc,2024-06-14,adoption,FALSE,"33.8487616, -118.1980605",Yes,8,06,Summer
dog,white,Neutered,2021-06-02,2024-06-02,ill moderatete,stray,otc,2024-09-01,adoption,FALSE,"33.8487616, -118.1980605",Yes,3,09,Fall
cat,gray,Neutered,2015-03-02,2022-03-02,injured  moderate,stray,field,2022-04-21,community cat,FALSE,"33.8502533, -118.1981314",No,10,04,Spring
cat,brown  tabby,Male,2023-04-07,2023-06-07,ill moderatete,stray,otc,2023-06-08,died,TRUE,"33.8502533, -118.1981314",No,1,06,Summer
dog,cream,Neutered,2021-09-14,2023-09-01,normal,stray,otc,2023-09-14,adoption,FALSE,"33.8767505, -118.2037218",Yes,3,09,Fall
dog,blue,Male,2023-08-23,2024-08-23,ill mild,stray,otc,2024-08-28,euthanasia,TRUE,"33.8767505, -118.2037218",No,1,08,Summer
dog,black,Spayed,2019-02-16,2023-02-16,normal,stray,field,2023-03-01,adoption,FALSE,"33.8777064, -118.2038327",Yes,6,03,Spring
cat,black,Female,2018-07-01,2018-08-01,under age/weight,stray,field,2018-08-03,transfer,FALSE,"33.7741205, -118.1923985",No,6,08,Summer
dog,tan,Male,2012-01-21,2017-01-21,normal,owner surrender,otc,2017-01-25,adoption,FALSE,"33.7741205, -118.1923985",Yes,13,01,Winter
dog,tan,Female,2017-02-09,2020-02-09,normal,stray,otc,2020-02-15,transfer,FALSE,"33.7753437, -118.1924043",No,8,02,Winter
cat,gray tabby,Spayed,2024-01-16,2024-09-16,ill moderatete,stray,field,2024-09-30,community cat,FALSE,"33.8436238, -118.1968518",No,1,09,Fall
dog,fawn,Female,2023-11-15,2024-11-15,ill moderatete,stray,field,2024-11-17,return to owner,FALSE,"33.8742117, -118.2035655",No,1,11,Fall
dog,tan,Male,2010-03-27,2018-03-27,normal,confiscate,abandon,2018-03-28,return to owner,FALSE,"33.8742117, -118.2035655",No,15,03,Spring
other,gray,Male,2019-06-01,2020-06-01,injured  severe,wildlife,field,2020-06-01,euthanasia,TRUE,"33.8661015, -118.2027924",No,5,06,Summer
dog,black,Spayed,2002-10-09,2021-10-20,ill moderatete,stray,field,2021-10-21,return to owner,FALSE,"33.8702803, -118.2032493",No,22,10,Fall
cat,calico,Unknown,2017-07-10,2017-07-12,under age/weight,stray,field,2017-07-12,euthanasia,TRUE,"33.8007482, -118.1925598",No,7,07,Summer
cat,calico,Unknown,2017-07-10,2017-07-12,under age/weight,stray,field,2017-07-12,euthanasia,TRUE,"33.8007482, -118.1925598",No,7,07,Summer
cat,black smoke,Unknown,2023-07-06,2023-07-07,under age/weight,stray,otc,2023-07-07,rescue,FALSE,"33.8465824, -118.1980555",No,1,07,Summer
dog,brown,Spayed,2016-12-03,2021-11-12,normal,stray,otc,2022-01-09,rescue,FALSE,"33.8465824, -118.1980555",No,8,01,Winter
dog,black,Male,2016-04-12,2018-07-02,normal,stray,field,2018-07-11,return to owner,FALSE,"33.867414, -118.2028381",No,8,07,Summer
